ID,Kürzel,Jahr,Titel,Band,Autor - Nachname,Vorname,Ort,Verlag,Kommentar,Zotero,Anmerkung,Zitat,Periode,Quelle_Typ,Quelle_Subtyp,Quelle_Spezifikation
PfWb_online,PfWb online,,"Pfälzisches Wörterbuch, digitalisierte Fassung im Wörterbuchnetz des Trier Center for Digital Humanities, <https://www.woerterbuchnetz.de/PfWB>",,,,,,,,,,,Literatur,Fachliteratur,Wörterbuch
PinzgMdalex1957_2,"Pinzg. Mdalex. 1957, 2",1957,"Pinzgauer Mundartlexikon, zusammengestellt von Konrad Nusko. In: Unser Pinzgau, Beilage zum Pinzgauer Heimatblatt","Jahrgang 2, Nr. 1ff",Nusko,Konrad,Zell am See,,,,,,,Literatur,Fachliteratur,Wörterbuch
Pirchegger1927,Pirchegger 1927,1927,Die slavischen Ortsnamen im Mürzgebiet (= Veröffentlichungen des Slavischen Instituts an der Friedrich-Wilhelms-Universität Berlin 1),,Pirchegger,Simon,Leipzig,Markert u. Petters,,1,,,,Literatur,,
Pölt-Nordheim1917,Pölt-Nordheim 1917,1917,Tiroler Nagelen. Erzählungen,,Pölt-Nordheim,Klara,Innsbruck,,,,,,,Literatur,Literar.Text,Prosa
Pölzl1934,Pölzl 1934,1934,"Der ""Haftsteckendialekt"". In: DasWaldviertel. Zeitschrift für Heimat- und Regionalkunde des Waldviertels und der Wachau 7 / F. 2 (1934), 22-26",,Pölzl,Franz,Horn,,,,,,,Literatur,,
Pons_online,Pons online,,Pons online,,Pons,,,,,1,,,,Literatur,Fachliteratur,Wörterbuch
Pötzl1892,Pötzl 1892,1892,Wiener von Heute. Gesammelte Skizzen nebst einem Anhang Wienerischer Ausdrücke,,Pötzl,Eduard,Wien,Georg Szelinski,,,,,,Literatur,,
Pree1953,Pree 1953,1953,Der Lautstand in den Mundarten des unteren Mühlviertels [OÖ] (Vokalismus). Diss. (masch.) ,,Pree,Franz,Wien,,,,,,,Literatur,Fachliteratur,Dissertation
Prosch1921,Prosch 1912,1921,"Lüsner und Weerer Deutsch. Vergleich des Wortschatzes einer Nord- und einer Südtiroler Mundart. In: Der Schlern 2/2, 44–46",,Prosch,Georg,,,https://digital.tessmann.it/tessmannDigital/Zeitungsarchiv/Seite/Zeitung/62963//15.01.1921/256055/1,,,,,Literatur,,
Pschorn1915,Pschorn 1915,1915,Mei' erschte Fechsung. Ernste und heitere Gedichte in niederösterreichischer Mundart. ,,Pschorn,Karl,Wien,,,,,,,Literatur,Literar.Text,Gedichte
PSJČ_online,PSJČ online,1935–1957,Příruční slovník jazyka českého. Online,,,,Praha,Ústav pro jazyk český Akademie věd České republiky,https://bara.ujc.cas.cz/psjc/search.php,,,,,Literatur,,
